HỘI THOẠI.|Hôi điên .
- Bác ơi, đây là làng gì ạ?|- nă trương , tơ-ơ̆u la pơlĕi yưng năng ? .
- Làng Kon Đruch. //câu này không dịch được
- Nhà ông Nhơn đi đường nào bác?|- hnam'bok Nhơn năm trong như nă ? .
- Đi đường đó, đến cầu rẽ trái là đến nhà ông Nhơn.|- năm trong 'noh , truh kung weh plĕi la truh hnam 'bok Nhơn .
- Cám ơn bác. Cho chúng tôi xin ít nước.|- kam ơn nă . Ăn nhơn pinh 'biê̆ đak .
- Nước đây. Các anh uống đi. Các anh đến nhà ông Nhơn có việc gì không?|- đak tơ-ơ̆u . Đe 'nhŏng kih . Đe 'nhŏng truh hnam 'bok Nhơn ơĭ tơdrong yưng bĭ ? .
- Tôi gọi ông đến làng Kon Blo cúng làm xong nhà mới ạ.|- inh krau kơwơng truh pơlĕi Kon Blo sơmah pơm keh hnam 'nau năng .
- Ông Nhơn đi vắng rồi.|- 'bok Nhơn năm hrul bơih .
- Đi đâu ạ?|- năm tơyơ năng ? .
- Ông ấy đi Quảng Ngãi thăm bà con, chưa về đâu.|- 'bok 'noh năm Quảng Ngãi tơmang nă ma , đim sưt tơyơ .
- Bác biết chắc như thế không ạ?|- mih lê̆ diê in noh bĭ năng ? .
- Biết chứ. Chúng tôi ở cùng làng mà! | Biết chứ (không dịch được). Nhơn uĕi adrĭng pơlĕi mă lĕi !.
- Thế thì chúng tôi về đây. | Câu này cũng không dịch được (chắc tại chữ thì)
- Các anh uống nước nữa đi.|- đe 'nhŏng et đak piêu năm .
- Cảm ơn. Chúng tôi uống rồi.|- bơne . Nhơn et bơih .
